IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZOSIA,KOBIETA,235
YVONNE,KOBIETA,231
DOLORES,KOBIETA,230
PAULINE,KOBIETA,230
TADEUSZA,KOBIETA,230
ALOJZA,KOBIETA,229
TEREZA,KOBIETA,229
KRYSTIANA,KOBIETA,228
MARYANA,KOBIETA,226
RENA,KOBIETA,226
GABRIELLE,KOBIETA,222
AGATHA,KOBIETA,221
ZARA,KOBIETA,221
NADJA,KOBIETA,221
MARGARYTA,KOBIETA,221
HERTA,KOBIETA,220
KIARA,KOBIETA,220
DIONIZA,KOBIETA,219
GUSTAWA,KOBIETA,219
AUGUSTA,KOBIETA,218
BOGDA,KOBIETA,218
SHIRA,KOBIETA,217
RONI,KOBIETA,216
IZYDORA,KOBIETA,216
NADEJDA,KOBIETA,215
BLANCA,KOBIETA,214
ELIF,KOBIETA,214
NOELIA,KOBIETA,214
REBEKA,KOBIETA,213
ROBERTA,KOBIETA,213
IEVGENIIA,KOBIETA,210
ZBIGNIEWA,KOBIETA,210
KAMELIA,KOBIETA,210
VIVIANA,KOBIETA,210
PATRIZIA,KOBIETA,210
DEBORAH,KOBIETA,210
MARINE,KOBIETA,210
SUZANNE,KOBIETA,209
NADEZHDA,KOBIETA,209
WALBURGA,KOBIETA,209
NATALIJA,KOBIETA,208
JAGIENKA,KOBIETA,208
ZEYNEP,KOBIETA,208
SUSANA,KOBIETA,208
VIRGINIA,KOBIETA,207
KARLA,KOBIETA,207
RUT,KOBIETA,206
SALMA,KOBIETA,206
MERVE,KOBIETA,204
IULIA,KOBIETA,204
KARINE,KOBIETA,204
STANISLAVA,KOBIETA,203
NATIA,KOBIETA,203
THỊ,KOBIETA,203
WINCENTA,KOBIETA,203
DANIELLE,KOBIETA,203
EMILIYA,KOBIETA,203
MILLA,KOBIETA,202
VIVIAN,KOBIETA,200
FELICYTA,KOBIETA,200
FLORA,KOBIETA,200
DENISE,KOBIETA,200
KATERINA,KOBIETA,200
AYA,KOBIETA,200
NANA,KOBIETA,200
STELA,KOBIETA,199
STEFANIIA,KOBIETA,199
INESSA,KOBIETA,199
ILIANA,KOBIETA,198
ADOLFA,KOBIETA,198
NADIJA,KOBIETA,198
WALESKA,KOBIETA,198
MARGOTA,KOBIETA,197
EDITH,KOBIETA,197
LIUBOU,KOBIETA,197
SIMONE,KOBIETA,196
KORYNA,KOBIETA,196
SUZANNA,KOBIETA,195
